COMMUNE,LISTE,ORDRE,NOM,PRENOM
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,28,VOLNY-ANNE,Serge
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,29,TEREAU,Suzie
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,30,CHEVIOT,Emmanuel
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,31,MILIDATE,Rose-Hélène
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,32,EUGENIA,Stéphan
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,33,BREDAS,Mathurine
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,34,VILDEUIL,Saint-Cyr Romain
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,35,FORTUNÉ,Marie-Hélène
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,36,LESDEMA,Antoine
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,37,PRIVAT,Laëtitia
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,38,NADEAU,Jean-Marc
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,39,LINÉRÉ,Marie-Louise
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,40,JOS,Jean-Claude
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,41,NAMILOS,Geneviève
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,42,BIEN-AIMÉ,Alain
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,43,SALVIN,Guylaine
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,44,DELIA,Jean-Marc
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,45,VALONY,Cindy
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,46,CHARLES,Jimmy
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,47,BEAUNOL FONTELLINE,Christelle Aude
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,48,LITAMPHA,Teddy
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,49,BRANCHET,Jane
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,50,CORASMIN,François
Fort-de-France,AKSYON FOYAL - ANSANM POU LÉVÉ FODFWANS,51,GEDIO,Marie-Laure
